id,name,stage,account_id,primary_contact_id,owner_id,rpu,status_note,source,expected_close_date,won_date,close_date,stage_changed_at,monday_item_id,created_at,updated_at,intake_meta,client_summary,client_research,researched_at,counterparty_id,min_dscr,project_irr,lcoe_mxn_kwh,pd,lgd,ead_mxn,el_mxn,ecl_stage,ecl_provision,sector,estado,currency,lost_reason,archived_at,company_id
95d25eb6-d5f9-40e8-9070-00eaf6509797,Fibrahotel,lead,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,12111170835,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,,,,,,,,,,,,,MXN,,,
ffaefc1a-49fb-4df0-a14a-1844684fcaaa,Costco,lead,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,12111224007,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,,,,,,,,,,,,,MXN,,,
9f081a6b-6c4e-4736-95d6-9a9000f9a84d,CarOne,lead,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,12111215489,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,,,,,,,,,,,,,MXN,,,
3a15cb78-ac94-4c34-876f-d4e8285d722d,Frisa,lead,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,12111236459,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,bad00614-a981-449d-aa44-9b17a3d573b9,,,,,,,,,,,,MXN,,,87ceccaa-b750-460d-a961-f97b8b8fd3f2
c7149984-2fb8-4405-bf51-90db803c276e,Grupo Presidente,lead,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,12111196951,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,,,,,,,,,,,,,MXN,,,
ffddf1e7-36eb-4bc3-b2a9-00ca6d7cb1a3,Hospital San Jose,docs,,,94665966-e6b1-4f2d-950e-88c0385a9b33,,,,,,,,9999207227,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
cfd61cc1-68a1-4dd3-a182-07d2e7b907d2,PRECITUBO,lead,,,2c8bbf6f-edec-44aa-92b9-fc81a252ae5c,,,,,,,,12323692151,2026-07-08 10:24:58.040186+00,2026-07-08 10:24:58.040186+00,,,,,,,,,,,,,,,,,MXN,,,
4b1cab2f-9b23-4953-8d4d-737365d7e0d4,YAQUI,lead,,,5e994892-5075-4470-9361-fbf20b6247a4,,,,,,,,12046192320,2026-07-08 10:23:11.648137+00,2026-07-08 10:23:11.648137+00,,,,,e42a5cdc-5e3b-4d9f-8166-4376833d3a06,,,,,,,,,,,,MXN,,,
524522d0-cd38-4e58-81cf-378e74f073f2,Expo Guadalajara,perdido,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916217483,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
c66232b3-9240-4404-be81-81cfd88ed104,Estadio Rayados de Monterrey,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916218440,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
4db319fc-bdce-422d-aeba-13d926b9a1a6,PISTA DE HIELO CUERNAVACA,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916218859,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
e185c1ac-e921-4da0-b81a-a3896a497288,TECMAQ,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916218944,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
cd18af17-b78e-4c0f-abb7-1ede75d6cee8,Traxion,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916219209,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
9c4d94af-509d-4a2b-810e-4711ccea7f35,Taosa Muebles SA de CV,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916219246,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
d8372a09-8a58-4a2d-b220-2f5492c90272,Poliflex SA DE CV,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916219420,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
d34949a2-0d26-4a09-90f4-0b2492c3fd9e,Plasticos Uribe SA de CV,stand_by,,,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,,,,,,,9916219459,2026-07-08 10:26:32.231365+00,2026-07-08 10:26:32.231365+00,,,,,,,,,,,,,,,,,MXN,,,
