id,deal_id,dimension,bucket_key,current_util,post_deal_util,limit_value,state,hard,computed_at
0b778f5a-e4ac-497f-8ef2-d18ee8e9d6df,f1e955cc-ea32-4af0-af20-841fba74bff2,single_obligor,,0,0,0.25,ok,t,2026-07-09 11:46:02.48944+00
0d4fd4c6-5013-4878-b8f1-52bb31eb8b37,f1e955cc-ea32-4af0-af20-841fba74bff2,offtaker,CFE,0,0,0.70,ok,f,2026-07-09 11:46:02.48944+00
110f03d5-09bb-4dde-87b4-045cf0b21781,f1e955cc-ea32-4af0-af20-841fba74bff2,technology,PV,0,0,0.85,ok,f,2026-07-09 11:46:02.48944+00
48d88370-9b5a-4e29-817e-caecc6d70371,f1e955cc-ea32-4af0-af20-841fba74bff2,geography,,0,0,0.40,ok,f,2026-07-09 11:46:02.48944+00
933bba55-54fd-4236-9fc7-2b0cd51b18cc,6bc3b795-dad9-418d-bd8a-ee4c007aa34f,single_obligor,,0,0,0.25,ok,t,2026-07-09 11:46:17.678417+00
52de44f9-fe1e-4076-aff1-60c499bbe140,6bc3b795-dad9-418d-bd8a-ee4c007aa34f,offtaker,CFE,0,0,0.70,ok,f,2026-07-09 11:46:17.678417+00
f6799447-f00c-443c-a695-e89e4ece9505,6bc3b795-dad9-418d-bd8a-ee4c007aa34f,technology,PV,0,0,0.85,ok,f,2026-07-09 11:46:17.678417+00
b5130332-6b8e-4d25-8d4f-f96554f9f62d,6bc3b795-dad9-418d-bd8a-ee4c007aa34f,geography,,0,0,0.40,ok,f,2026-07-09 11:46:17.678417+00
908506b2-8b9c-46c9-94ee-e79e5e3bc5c1,87d6de95-1f23-4435-a62a-015a413ab415,single_obligor,,0,0,0.25,ok,t,2026-07-09 13:03:08.316642+00
fe552fa2-5e59-44f9-a8ec-794f77e85e5f,87d6de95-1f23-4435-a62a-015a413ab415,offtaker,CFE,0,0,0.70,ok,f,2026-07-09 13:03:08.316642+00
d93b7059-680b-4658-95b8-abcca16e037b,87d6de95-1f23-4435-a62a-015a413ab415,technology,PV,0,0,0.85,ok,f,2026-07-09 13:03:08.316642+00
6faef152-39d2-410b-ba76-3d00e4913b11,87d6de95-1f23-4435-a62a-015a413ab415,geography,,0,0,0.40,ok,f,2026-07-09 13:03:08.316642+00
